id,nom,groupe_musculaire,equipement,url
arrache-avec-haltere,Arraché avec haltère,Épaules,Haltères,https://www.docteur-fitness.com/arrache-avec-haltere
handstand-push-up-suspendu,Handstand push-up suspendu,Épaules,Poids de corps / sans matériel,https://www.docteur-fitness.com/handstand-push-up-suspendu
rotation-externe-de-lepaule-en-abduction,Rotation externe de l'épaule en abduction,Épaules,Poids de corps / sans matériel,https://www.docteur-fitness.com/rotation-externe-de-lepaule-en-abduction
rotations-externes-de-lepaule-avec-elastique,Rotations externes de l'épaule avec élastique,Épaules,Élastique,https://www.docteur-fitness.com/rotations-externes-de-lepaule-avec-elastique
rotations-internes-de-lepaule-avec-elastique,Rotations internes de l'épaule avec élastique,Épaules,Élastique,https://www.docteur-fitness.com/rotations-internes-de-lepaule-avec-elastique
passage-depaule-avec-elastique,Passage d'épaule avec élastique,Épaules,Élastique,https://www.docteur-fitness.com/passage-depaule-avec-elastique
oiseau-a-la-poulie-a-45,Oiseau à la poulie à 45°,Épaules,Poulie,https://www.docteur-fitness.com/oiseau-a-la-poulie-a-45
rotation-interne-a-90-a-la-poulie,Rotation interne à 90° à la poulie,Épaules,Poulie,https://www.docteur-fitness.com/rotation-interne-a-90-a-la-poulie
elevation-laterale-a-la-poulie-en-inclinaison,Élévation latérale à la poulie en inclinaison,Épaules,Poulie,https://www.docteur-fitness.com/elevation-laterale-a-la-poulie-en-inclinaison
face-pull-couche-a-la-poulie,Face pull couché à la poulie,Épaules,Poulie,https://www.docteur-fitness.com/face-pull-couche-a-la-poulie
elevation-en-y-a-la-poulie,Élévation en Y à la poulie,Épaules,Poulie,https://www.docteur-fitness.com/elevation-en-y-a-la-poulie
ecarte-arriere-elastique,Écarté arrière à l'élastique,Épaules,Élastique,https://www.docteur-fitness.com/ecarte-arriere-elastique
developpe-militaire,Développé militaire,Épaules,Poids de corps / sans matériel,https://www.docteur-fitness.com/developpe-militaire
developpe-arnold,Développé Arnold,Épaules,Poids de corps / sans matériel,https://www.docteur-fitness.com/developpe-arnold
face-pull,Face pull,Épaules,Poids de corps / sans matériel,https://www.docteur-fitness.com/face-pull
elevations-laterales-a-la-poulie,Élévations latérales à la poulie,Épaules,Poulie,https://www.docteur-fitness.com/elevations-laterales-a-la-poulie
elevations-laterales-a-la-machine,Élévations latérales à la machine,Épaules,Machine,https://www.docteur-fitness.com/elevations-laterales-a-la-machine
developpe-epaules-avec-halteres,Développé épaules avec haltères,Épaules,Haltères,https://www.docteur-fitness.com/developpe-epaules-avec-halteres
developpe-a-la-landmine,Développé épaules debout à la landmine,Épaules,Landmine,https://www.docteur-fitness.com/developpe-a-la-landmine
rotation-externe-de-lepaule-a-la-poulie,Rotation externe de l'épaule à la poulie,Épaules,Poulie,https://www.docteur-fitness.com/rotation-externe-de-lepaule-a-la-poulie
pec-deck-inverse,Pec deck inversé,Épaules,Machine,https://www.docteur-fitness.com/pec-deck-inverse
elevations-frontales,Élévations frontales,Épaules,Poids de corps / sans matériel,https://www.docteur-fitness.com/elevations-frontales
elevations-laterales,Élévations latérales,Épaules,Poids de corps / sans matériel,https://www.docteur-fitness.com/elevations-laterales
presse-a-epaules-inclinee,Presse à épaules inclinée,Épaules,Machine,https://www.docteur-fitness.com/presse-a-epaules-inclinee
elevations-laterales-avec-kettlebell,Élévations latérales avec kettlebell,Épaules,Kettlebell,https://www.docteur-fitness.com/elevations-laterales-avec-kettlebell
tirage-menton-avec-kettlebell,Tirage menton avec kettlebell,Épaules,Kettlebell,https://www.docteur-fitness.com/tirage-menton-avec-kettlebell
developpe-epaule-avec-kettlebell,Développé épaule avec kettlebell,Épaules,Kettlebell,https://www.docteur-fitness.com/developpe-epaule-avec-kettlebell
tirage-menton-barre-guidee,Tirage menton barre guidée,Épaules,Smith machine,https://www.docteur-fitness.com/tirage-menton-barre-guidee
elevations-laterales-avec-landmine,Élévations latérales avec landmine,Épaules,Landmine,https://www.docteur-fitness.com/elevations-laterales-avec-landmine
oiseau-assis-sur-un-banc,Oiseau assis sur un banc,Épaules,Poids de corps / sans matériel,https://www.docteur-fitness.com/oiseau-assis-sur-un-banc
elevation-frontale-allongee-a-la-barre,Élévation frontale allongée à la barre,Épaules,Barre,https://www.docteur-fitness.com/elevation-frontale-allongee-a-la-barre
developpe-epaule-unilateral-avec-elastique,Développé épaule unilatéral avec élastique,Épaules,Élastique,https://www.docteur-fitness.com/developpe-epaule-unilateral-avec-elastique
developpe-epaules-a-la-smith-machine,Développé épaules à la Smith machine,Épaules,Smith machine|Machine,https://www.docteur-fitness.com/developpe-epaules-a-la-smith-machine
elevation-frontale-sur-banc-incline,Élévation frontale sur banc incliné,Épaules,Poids de corps / sans matériel,https://www.docteur-fitness.com/elevation-frontale-sur-banc-incline
developpe-epaules-assis,Développé épaules assis,Épaules,Poids de corps / sans matériel,https://www.docteur-fitness.com/developpe-epaules-assis
tirage-menton-avec-elastique,Tirage menton avec élastique,Épaules,Élastique,https://www.docteur-fitness.com/tirage-menton-avec-elastique
oiseau-avec-elastique,Oiseau avec élastique,Épaules,Élastique,https://www.docteur-fitness.com/oiseau-avec-elastique
developpe-epaules-avec-elastique,Développé épaules avec élastique,Épaules,Élastique,https://www.docteur-fitness.com/developpe-epaules-avec-elastique
elevations-laterales-inclinees-avec-haltere,Élévations latérales inclinées avec haltère,Épaules,Haltères,https://www.docteur-fitness.com/elevations-laterales-inclinees-avec-haltere
rotation-externe-de-lepaule-couchee-avec-haltere,Rotation externe de l'épaule couchée avec haltère,Épaules,Haltères,https://www.docteur-fitness.com/rotation-externe-de-lepaule-couchee-avec-haltere
handstand-push-up,Handstand push-up,Épaules,Poids de corps / sans matériel,https://www.docteur-fitness.com/handstand-push-up
pompes-piquees,Pompes piquées,Épaules,Poids de corps / sans matériel,https://www.docteur-fitness.com/pompes-piquees
russian-twist-avec-developpe-epaule,Russian twist avec développé épaules,Épaules,Poids de corps / sans matériel,https://www.docteur-fitness.com/russian-twist-avec-developpe-epaule
croix-de-fer-avec-halteres,Croix de fer avec haltères,Épaules,Haltères,https://www.docteur-fitness.com/croix-de-fer-avec-halteres
extension-horizontale-des-epaules-avec-elastique,Extension horizontale des épaules avec élastique,Épaules,Élastique,https://www.docteur-fitness.com/extension-horizontale-des-epaules-avec-elastique
thruster-avec-kettlebell,Thruster avec kettlebell,Épaules,Kettlebell,https://www.docteur-fitness.com/thruster-avec-kettlebell
developpe-epaules-unilateral-landmine,Développé épaule unilatéral à genou avec landmine,Épaules,Landmine,https://www.docteur-fitness.com/developpe-epaules-unilateral-landmine
